,comment,name,price,shop,type
0,940000+,荣耀 V10 高配版 6GB+64GB 幻夜黑 移动联通电信4G全面屏游戏手机 双卡双待,1998.00,荣耀京东自营旗舰店,自营
1,520000+,荣耀8X 千元屏霸 91%屏占比 2000万AI双摄 4GB+64GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,1399.00,荣耀京东自营旗舰店,自营
2,860000+,荣耀10 GT游戏加速 AIS手持夜景 6GB+64GB 幻影蓝全网通 移动联通电信4G 双卡双待 游戏手机,2198.00,荣耀京东自营旗舰店,自营
3,970000+,荣耀9i 4GB+64GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,1198.00,荣耀京东自营旗舰店,自营
4,720000+,荣耀畅玩7C 全面屏手机 全网通标配版 3GB+32GB 铂光金 移动联通电信4G手机 双卡双待,799.00,荣耀京东自营旗舰店,自营
5,250000+,华为 HUAWEI nova 2S 全面屏四摄 6GB +128GB 曜石黑 移动联通电信4G手机 双卡双待,1999.00,华为京东自营官方旗...,自营
6,480000+,华为 HUAWEI P20 AI智慧徕卡双摄全面屏游戏手机 6GB+64GB 极光色 全网通移动联通电信4G手机 双卡双待,3388.00,华为京东自营官方旗...,自营
7,50000+,华为 HUAWEI Mate 20 麒麟980AI智能芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB亮黑色全网通版双4G手机,4499.00,华为京东自营官方旗...,自营
8,380000+,荣耀畅玩7A 全面屏手机 全网通标配版 2GB+32GB 铂光金 移动联通电信4G手机 双卡双待,699.00,荣耀京东自营旗舰店,自营
9,330000+,荣耀Play 全网通版 6GB+64GB 幻夜黑 移动联通电信4G全面屏游戏手机 双卡双待,1998.00,荣耀京东自营旗舰店,自营
10,150000+,华为 HUAWEI 麦芒 6全网通 4GB+64GB版 极光蓝 移动联通电信4G手机 双卡双待,1499.00,华为京东自营官方旗...,自营
11,330000+,华为 HUAWEI Mate 20 Pro (UD)屏内指纹版麒麟980芯片全面屏超大广角徕卡三摄8GB+128GB樱粉金全网通双4G手机,5399.00,华为京东自营官方旗...,自营
12,1160000+,荣耀 畅玩7X 4GB+32GB 全网通4G全面屏手机 标配版 铂光金,999.00,荣耀京东自营旗舰店,自营
13,370000+,华为 HUAWEI 畅享9 Plus 4GB+64GB 幻夜黑 全网通 四摄超清全面屏大电池 移动联通电信4G手机 双卡双待,1499.00,华为京东自营官方旗...,自营
14,1230000+,荣耀9青春版 全网通 尊享版 4GB+64GB 海鸥灰 移动联通电信4G全面屏手机 双卡双待,1199.00,荣耀京东自营旗舰店,自营
15,180000+,荣耀Magic2 麒麟980AI智能芯片 超广角AI三摄 8GB+128GB 渐变红 移动联通电信4G手机 双卡双待,4299.00,荣耀京东自营旗舰店,自营
16,260000+,荣耀 畅玩7 2GB+16GB 金色 全网通4G手机 双卡双待,599.00,荣耀京东自营旗舰店,自营
17,190000+,华为畅享7 Plus 4GB+64GB 香槟金 移动联通电信4G手机 双卡双待,1299.00,华为京东自营官方旗...,自营
18,110000+,荣耀8X Max 7.12英寸90%屏占比珍珠屏 4GB+64GB 魅海蓝 移动联通电信4G全面屏手机 双卡双待,1499.00,荣耀京东自营旗舰店,自营
19,290000+,华为 HUAWEI P20 Pro 全面屏徕卡三摄游戏手机 6GB+128GB 极光色 全网通移动联通电信4G手机 双卡双待,4988.00,华为京东自营官方旗...,自营
20,280000+,华为 HUAWEI nova 3e 全面屏2400万前置摄像 4GB +64GB 克莱因蓝 全网通版移动联通电信4G手机 双卡双待,1599.00,华为京东自营官方旗...,自营
21,9600+,华为 HUAWEI 畅享MAX 4GB+64GB 幻夜黑 全网通版 珍珠屏杜比全景声大电池 移动联通电信4G手机 双卡双待,1699.00,华为京东自营官方旗...,自营
22,160000+,华为 HUAWEI nova 3全面屏高清四摄游戏手机 6GB+128GB 亮黑色 全网通移动联通电信4G手机 双卡双待,2799.00,华为京东自营官方旗...,自营
23,120000+,华为 HUAWEI 畅享8e 青春版 2GB+32GB全面屏 金色 全网通版 移动联通电信4G手机 双卡双待,699.00,华为京东自营官方旗...,自营
24,230000+,华为 HUAWEI Mate 10 Pro 全面屏徕卡双摄游戏手机 6GB+128GB 银钻灰 全网通移动联通电信4G手机 双卡双待,3999.00,华为京东自营官方旗...,自营
25,180000+,华为畅享8 Plus 高清四摄大电池 4G+64G 金色 全网通版 移动联通电信4G手机 双卡双待,1499.00,华为京东自营官方旗...,自营
26,310000+,华为 HUAWEI Mate 10 4GB+64GB 亮黑色 移动联通电信4G手机 双卡双待,3099.00,华为京东自营官方旗...,自营
27,810000+,荣耀Note10 全网通6G+64G 幻夜黑 移动联通电信4G全面屏手机 双卡双待 游戏手机,2698.00,荣耀京东自营旗舰店,自营
28,380000+,荣耀畅玩8C 全网通标配版 4GB+32GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,998.00,荣耀京东自营旗舰店,自营
29,100000+,华为 HUAWEI nova 3i全面屏高清四摄游戏手机 6GB+64GB 蓝楹紫 全网通移动联通电信4G手机 双卡双待,1999.00,华为京东自营官方旗...,自营
30,200000+,华为 HUAWEI 畅享7S 全面屏双摄 4GB +64GB 黑色 移动联通电信4G手机 双卡双待,1279.00,华为京东自营官方旗...,自营
31,160000+,华为畅享8 全面屏三卡槽 4GB+64GB 金色 全网通高配版 移动联通电信4G手机 双卡双待,1299.00,华为京东自营官方旗...,自营
32,200000+,华为 麦芒5 全网通 4GB+64GB版 香槟金 移动联通电信4G手机 双卡双待,1099.00,华为京东自营官方旗...,自营
33,150000+,华为 HUAWEI Mate 20 X 麒麟980芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB宝石蓝全网通版双4G手机,4999.00,华为京东自营官方旗...,自营
