,comment,name,price,shop,type
34,50000+,华为畅享8e 全面屏后置双摄 3G+32G 金色 全网通版 移动联通电信4G手机 双卡双待,999.00,华为京东自营官方旗...,自营
35,9900+,华为（HUAWEI） 荣耀Play手机 幻夜黑 全网通6G+128G尊享版,1958.00,疆界互联旗舰店,自营
36,120000+,华为（HUAWEI） 荣耀10手机GT游戏加速 幻影蓝 全网通6G+128G尊享版,2299.00,牧申手机旗舰店,自营
37,10000+,华为 HUAWEI 麦芒7 6G+64G 亮黑色 全网通 前置智慧双摄 移动联通电信4G手机 双卡双待,2399.00,华为京东自营官方旗...,自营
38,7100+,华为（HUAWEI） 荣耀Play 游戏手机 幻夜黑 全网通6GB+128GB尊享版,1898.00,佳沪手机旗舰店,自营
39,9700+,华为（HUAWEI） 荣耀10 GT游戏手机 幻影蓝 全网通6GB+128GB尊享版,2288.00,佳沪手机旗舰店,自营
40,180000+,华为（HUAWEI） 荣耀V10手机 极光蓝 全网通高配版(6G+64G),1799.00,新松联手机旗舰店,自营
41,8900+,华为（HUAWEI） 荣耀v10 手机 幻夜黑 尊享版（6GB+128GB）,2299.00,鹏路网络手机旗舰店,自营
42,8300+,华为（HUAWEI） 荣耀10游戏GT加速手机 幻夜黑 全网通6GB+128GB【1年碎屏险套装】,2599.00,新松联手机旗舰店,自营
43,6000+,华为（HUAWEI） P20 全面屏 手机 极光 全网通（6G+128G）,3888.00,掌视界数码旗舰店,自营
44,110000+,华为（HUAWEI） 荣耀9i手机 幻夜黑 全网通4+64G标配版,1135.00,疆界互联旗舰店,自营
45,5300+,华为（HUAWEI） 华为畅享8 手机 蓝色 全网通（4G+64G）,1099.00,聚捷联盛手机旗舰店,自营
46,5000+,华为（HUAWEI） 荣耀8X 手机全面屏全网通 魅海蓝 6GB+128GB 尊享版,1899.00,牧申手机旗舰店,自营
47,4500+,华为（HUAWEI） 华为nova3 手机 亮黑色 全网通(6G+128G),2598.00,炜东电商旗舰店,自营
48,4500+,华为（HUAWEI） 华为荣耀8X 手机 魅海蓝 全网通6G+128G尊享版,1899.00,佳沪手机旗舰店,自营
49,4400+,华为（HUAWEI） 荣耀play GT加速游戏手机 幻夜黑 全网通6G+128G尊享版,1958.00,博海宇通手机旗舰店,自营
50,140000+,华为（HUAWEI） 荣耀畅玩7 全面屏 智能老人手机 黑色 全网通（2G+16G）,599.00,博海宇通手机旗舰店,自营
51,4200+,华为（HUAWEI） 华为荣耀Play手机 幻夜黑 6G+128G尊享版,1898.00,牧申手机旗舰店,自营
52,3700+,华为（HUAWEI） 华为nova3 手机 蓝楹紫 全网通(6G+128G),2598.00,掌视界数码旗舰店,自营
53,110000+,华为（HUAWEI） 荣耀 畅玩7 全网通 移动联通电信4G 全面屏智能老人手机 双卡双待 金色 (2G RAM+16G ROM),549.00,众盛手机专营店,自营
54,5400+,华为（HUAWEI） 畅享8 Plus 手机9 金色 全网通（4G+64G）,1228.00,聚捷联盛手机旗舰店,自营
55,6600+,华为（HUAWEI） 荣耀 畅玩7X 移动联通电信 全网通4G 全面屏智能手机 双卡双待 极光蓝 标准版(4G RAM+32G ROM),929.00,众盛手机专营店,自营
56,3600+,华为（HUAWEI） nova3e 全面屏 手机 幻夜黑 4GB+128GB,2199.00,鹏路网络手机旗舰店,自营
57,7700+,华为（HUAWEI） 华为Mate10 手机 香槟金 全网通(6GB+128GB)高配版,2948.00,佳沪手机旗舰店,自营
58,3400+,华为（HUAWEI） 华为nova3i 手机 蓝楹紫 全网通(6G+128G),2199.00,炜东电商旗舰店,自营
59,6900+,华为（HUAWEI） 荣耀 畅玩7手机 金色 全网通(2GB+16GB),525.00,新松联手机旗舰店,自营
60,940000+,荣耀 V10 高配版 6GB+64GB 幻夜黑 移动联通电信4G全面屏游戏手机 双卡双待,1998.00,荣耀京东自营旗舰店,自营
61,520000+,荣耀8X 千元屏霸 91%屏占比 2000万AI双摄 4GB+64GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,1399.00,荣耀京东自营旗舰店,自营
62,860000+,荣耀10 GT游戏加速 AIS手持夜景 6GB+64GB 幻影蓝全网通 移动联通电信4G 双卡双待 游戏手机,2198.00,荣耀京东自营旗舰店,自营
63,970000+,荣耀9i 4GB+64GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,1198.00,荣耀京东自营旗舰店,自营
64,290000+,华为 HUAWEI P20 Pro 全面屏徕卡三摄游戏手机 6GB+64GB 极光色 全网通移动联通电信4G手机 双卡双待,4488.00,华为京东自营官方旗...,自营
65,720000+,荣耀畅玩7C 全面屏手机 全网通标配版 3GB+32GB 铂光金 移动联通电信4G手机 双卡双待,799.00,荣耀京东自营旗舰店,自营
66,250000+,华为 HUAWEI nova 2S 全面屏四摄 6GB +128GB 曜石黑 移动联通电信4G手机 双卡双待,1999.00,华为京东自营官方旗...,自营
67,480000+,华为 HUAWEI P20 AI智慧徕卡双摄全面屏游戏手机 6GB+64GB 极光色 全网通移动联通电信4G手机 双卡双待,3388.00,华为京东自营官方旗...,自营
68,50000+,华为 HUAWEI Mate 20 麒麟980AI智能芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB亮黑色全网通版双4G手机,4499.00,华为京东自营官方旗...,自营
69,380000+,荣耀畅玩7A 全面屏手机 全网通标配版 2GB+32GB 铂光金 移动联通电信4G手机 双卡双待,699.00,荣耀京东自营旗舰店,自营
70,330000+,荣耀Play 全网通版 6GB+64GB 幻夜黑 移动联通电信4G全面屏游戏手机 双卡双待,1998.00,荣耀京东自营旗舰店,自营
71,150000+,华为 HUAWEI 麦芒 6全网通 4GB+64GB版 极光蓝 移动联通电信4G手机 双卡双待,1499.00,华为京东自营官方旗...,自营
72,330000+,华为 HUAWEI Mate 20 Pro 麒麟980芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB宝石蓝全网通版双4G手机,5399.00,华为京东自营官方旗...,自营
73,480000+,华为 HUAWEI P20 AI智慧徕卡双摄全面屏游戏手机 6GB+64GB 亮黑色 全网通移动联通电信4G手机 双卡双待,3388.00,华为京东自营官方旗...,自营
74,1160000+,荣耀 畅玩7X 4GB+32GB 全网通4G全面屏手机 标配版 铂光金,999.00,荣耀京东自营旗舰店,自营
75,370000+,华为 HUAWEI 畅享9 Plus 4GB+64GB 幻夜黑 全网通 四摄超清全面屏大电池 移动联通电信4G手机 双卡双待,1499.00,华为京东自营官方旗...,自营
76,1230000+,荣耀9青春版 全网通 尊享版 4GB+64GB 海鸥灰 移动联通电信4G全面屏手机 双卡双待,1199.00,荣耀京东自营旗舰店,自营
77,180000+,荣耀Magic2 麒麟980AI智能芯片 超广角AI三摄 8GB+128GB 渐变红 移动联通电信4G手机 双卡双待,4299.00,荣耀京东自营旗舰店,自营
78,260000+,荣耀 畅玩7 2GB+16GB 金色 全网通4G手机 双卡双待,599.00,荣耀京东自营旗舰店,自营
79,190000+,华为畅享7 Plus 4GB+64GB 香槟金 移动联通电信4G手机 双卡双待,1299.00,华为京东自营官方旗...,自营
80,110000+,荣耀8X Max 7.12英寸90%屏占比珍珠屏 4GB+64GB 魅海蓝 移动联通电信4G全面屏手机 双卡双待,1499.00,荣耀京东自营旗舰店,自营
81,290000+,华为 HUAWEI P20 Pro 全面屏徕卡三摄游戏手机 6GB+128GB 极光色 全网通移动联通电信4G手机 双卡双待,4988.00,华为京东自营官方旗...,自营
82,480000+,华为 HUAWEI P20 AI智慧徕卡双摄全面屏游戏手机 6GB+128GB 亮黑色 全网通移动联通电信4G手机 双卡双待,3888.00,华为京东自营官方旗...,自营
83,280000+,华为 HUAWEI nova 3e 全面屏2400万前置摄像 4GB +64GB 克莱因蓝 全网通版移动联通电信4G手机 双卡双待,1599.00,华为京东自营官方旗...,自营
84,9600+,华为 HUAWEI 畅享MAX 4GB+64GB 幻夜黑 全网通版 珍珠屏杜比全景声大电池 移动联通电信4G手机 双卡双待,1699.00,华为京东自营官方旗...,自营
85,160000+,华为 HUAWEI nova 3全面屏高清四摄游戏手机 6GB+128GB 亮黑色 全网通移动联通电信4G手机 双卡双待,2799.00,华为京东自营官方旗...,自营
86,120000+,华为 HUAWEI 畅享8e 青春版 2GB+32GB全面屏 金色 全网通版 移动联通电信4G手机 双卡双待,699.00,华为京东自营官方旗...,自营
87,230000+,华为 HUAWEI Mate 10 Pro 全面屏徕卡双摄游戏手机 6GB+128GB 银钻灰 全网通移动联通电信4G手机 双卡双待,3999.00,华为京东自营官方旗...,自营
88,180000+,华为畅享8 Plus 高清四摄大电池 4G+64G 金色 全网通版 移动联通电信4G手机 双卡双待,1499.00,华为京东自营官方旗...,自营
89,310000+,华为 HUAWEI Mate 10 4GB+64GB 亮黑色 移动联通电信4G手机 双卡双待,3099.00,华为京东自营官方旗...,自营
90,810000+,荣耀Note10 全网通6G+64G 幻夜黑 移动联通电信4G全面屏手机 双卡双待 游戏手机,2698.00,荣耀京东自营旗舰店,自营
91,200+,华为（HUAWEI） P20 全面屏手机 亮黑色 全网通(6G+64G),3388.00,中通福手机专营店,自营
92,380000+,荣耀畅玩8C 全网通标配版 4GB+32GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,998.00,荣耀京东自营旗舰店,自营
93,100000+,华为 HUAWEI nova 3i全面屏高清四摄游戏手机 6GB+64GB 蓝楹紫 全网通移动联通电信4G手机 双卡双待,1999.00,华为京东自营官方旗...,自营
94,200000+,华为 HUAWEI 畅享7S 全面屏双摄 4GB +64GB 黑色 移动联通电信4G手机 双卡双待,1279.00,华为京东自营官方旗...,自营
95,160000+,华为畅享8 全面屏三卡槽 4GB+64GB 金色 全网通高配版 移动联通电信4G手机 双卡双待,1299.00,华为京东自营官方旗...,自营
96,200000+,华为 麦芒5 全网通 4GB+64GB版 香槟金 移动联通电信4G手机 双卡双待,1099.00,华为京东自营官方旗...,自营
97,150000+,华为 HUAWEI Mate 20 X 麒麟980芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB宝石蓝全网通版双4G手机,4999.00,华为京东自营官方旗...,自营
98,50000+,华为畅享8e 全面屏后置双摄 3G+32G 金色 全网通版 移动联通电信4G手机 双卡双待,999.00,华为京东自营官方旗...,自营
99,9900+,华为（HUAWEI） 荣耀Play手机 幻夜黑 全网通6G+128G尊享版,1958.00,疆界互联旗舰店,自营
100,300+,华为（HUAWEI） 华为P20 Pro 游戏手机 亮黑色 全网通(6G+128G),4988.00,华信通手机专营店,自营
101,120000+,华为（HUAWEI） 荣耀10手机GT游戏加速 幻影蓝 全网通6G+128G尊享版,2299.00,牧申手机旗舰店,自营
102,10000+,华为 HUAWEI 麦芒7 6G+64G 亮黑色 全网通 前置智慧双摄 移动联通电信4G手机 双卡双待,2399.00,华为京东自营官方旗...,自营
103,7100+,华为（HUAWEI） 荣耀Play 游戏手机 幻夜黑 全网通6GB+128GB尊享版,1898.00,佳沪手机旗舰店,自营
104,9700+,华为（HUAWEI） 荣耀10 GT游戏手机 幻影蓝 全网通6GB+128GB尊享版,2288.00,佳沪手机旗舰店,自营
105,180000+,华为（HUAWEI） 荣耀V10手机 极光蓝 全网通高配版(6G+64G),1799.00,新松联手机旗舰店,自营
106,8900+,华为（HUAWEI） 荣耀v10 手机 幻夜黑 尊享版（6GB+128GB）,2299.00,鹏路网络手机旗舰店,自营
107,8300+,华为（HUAWEI） 荣耀10游戏GT加速手机 幻夜黑 全网通6GB+128GB【1年碎屏险套装】,2599.00,新松联手机旗舰店,自营
108,6000+,华为（HUAWEI） P20 全面屏 手机 极光 全网通（6G+128G）,3888.00,掌视界数码旗舰店,自营
109,520000+,荣耀8X 千元屏霸 91%屏占比 2000万AI双摄 6GB+128GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,1899.00,荣耀京东自营旗舰店,自营
110,110000+,华为（HUAWEI） 荣耀9i手机 幻夜黑 全网通4+64G标配版,1135.00,疆界互联旗舰店,自营
111,5300+,华为（HUAWEI） 华为畅享8 手机 蓝色 全网通（4G+64G）,1099.00,聚捷联盛手机旗舰店,自营
112,5000+,华为（HUAWEI） 荣耀8X 手机全面屏全网通 魅海蓝 6GB+128GB 尊享版,1899.00,牧申手机旗舰店,自营
113,4500+,华为（HUAWEI） 华为nova3 手机 亮黑色 全网通(6G+128G),2598.00,炜东电商旗舰店,自营
114,4500+,华为（HUAWEI） 华为荣耀8X 手机 魅海蓝 全网通6G+128G尊享版,1899.00,佳沪手机旗舰店,自营
115,4400+,华为（HUAWEI） 荣耀play GT加速游戏手机 幻夜黑 全网通6G+128G尊享版,1958.00,博海宇通手机旗舰店,自营
116,140000+,华为（HUAWEI） 荣耀畅玩7 全面屏 智能老人手机 黑色 全网通（2G+16G）,599.00,博海宇通手机旗舰店,自营
117,4200+,华为（HUAWEI） 华为荣耀Play手机 幻夜黑 6G+128G尊享版,1898.00,牧申手机旗舰店,自营
118,3700+,华为（HUAWEI） 华为nova3 手机 蓝楹紫 全网通(6G+128G),2598.00,掌视界数码旗舰店,自营
119,110000+,华为（HUAWEI） 荣耀 畅玩7 全网通 移动联通电信4G 全面屏智能老人手机 双卡双待 金色 (2G RAM+16G ROM),549.00,众盛手机专营店,自营
